name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Olympiacos F.C. vs Asteras Tripolis,2025-08-23 17:00:00,Olympiacos F.C. won after full-time.,Greece Super Liga,Olympiacos F.C.,Asteras Tripolis,2.0,0.0,4.0,9.0,12.0,3.0,12.0,1.0,22.0,3.0,173.0,42.0,90.0,6.0,73.0,27.0,,,12.0,0.0,10.0,3.0,4.0,3.0,1.0,14.0,14.0,2.0,10.0,10.0,1.0,1.0,0.0,3.0,1.2,6.34,16.28,1.42,2.8,,,,,1.82,2.04,1.22,5.75,19.0,1.4,2.75,,,,,1.85,1.95,0.83,0.16,0.06,0.36,0.7,,,,,0.55,0.49,0.82,0.17,0.05,0.71,0.36,,,,,0.54,0.51,2025-2026
Aris vs Volos NFC,2025-08-23 17:00:00,Aris won after full-time.,Greece Super Liga,Aris,Volos NFC,2.0,0.0,11.0,14.0,5.0,4.0,4.0,3.0,12.0,10.0,119.0,75.0,64.0,33.0,58.0,42.0,,,8.0,4.0,4.0,6.0,2.0,0.0,8.0,8.0,10.0,8.0,16.0,13.0,5.0,2.0,2.0,4.0,1.7,3.64,5.54,1.75,2.09,,,1.89,1.97,2.02,1.84,1.66,3.9,4.75,1.66,2.1,,,1.9,1.9,2.02,1.77,0.59,0.27,0.18,0.48,0.57,,,0.53,0.51,0.5,0.54,0.6,0.26,0.21,0.6,0.48,,,0.53,0.53,0.5,0.56,2025-2026
Panaitolikos vs Atromitos,2025-08-23 19:00:00,Atromitos won after full-time.,Greece Super Liga,Panaitolikos,Atromitos,0.0,2.0,3.0,12.0,1.0,4.0,4.0,4.0,11.0,14.0,123.0,85.0,40.0,46.0,53.0,47.0,,,6.0,10.0,5.0,4.0,1.0,0.0,6.0,13.0,4.0,7.0,12.0,15.0,2.0,0.0,1.0,2.0,3.47,2.9,2.47,1.76,2.07,1.9,1.96,,,,,3.2,3.0,2.4,1.7,2.05,1.9,1.9,,,,,0.29,0.34,0.4,0.48,0.57,0.53,0.51,,,,,0.31,0.33,0.42,0.59,0.49,0.53,0.53,,,,,2025-2026
Panathinaikos vs OFI,2025-08-24 16:45:00,,Greece Super Liga,Panathinaikos,OFI,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,5.06,7.99,1.83,1.95,,,,,,,1.3,5.0,10.0,1.95,1.8,,,,,,,0.74,0.2,0.13,0.51,0.55,,,,,,,0.77,0.2,0.1,0.51,0.56,,,,,,,2025-2026
AEK Athens vs Panserraikos,2025-08-24 17:15:00,AEK Athens won after full-time.,Greece Super Liga,AEK Athens,Panserraikos,2.0,0.0,4.0,7.0,9.0,1.0,9.0,4.0,25.0,5.0,118.0,67.0,79.0,26.0,74.0,26.0,1.0,0.0,17.0,4.0,8.0,1.0,2.0,1.0,6.0,11.0,15.0,3.0,10.0,14.0,1.0,6.0,1.0,1.0,1.17,7.39,16.56,1.58,2.35,,,,,,,1.18,7.0,15.0,1.57,2.25,,,,,,,0.85,0.14,0.06,0.43,0.63,,,,,,,0.85,0.14,0.07,0.64,0.44,,,,,,,2025-2026
PAOK vs Larissa,2025-08-24 18:00:00,PAOK won after full-time.,Greece Super Liga,PAOK,Larissa,1.0,0.0,10.0,6.0,9.0,2.0,9.0,4.0,19.0,7.0,130.0,65.0,73.0,17.0,67.0,33.0,,,9.0,4.0,10.0,3.0,1.0,2.0,5.0,12.0,14.0,6.0,8.0,12.0,2.0,6.0,1.0,2.0,1.28,5.79,11.03,1.63,2.28,,,,,,,1.3,5.0,11.0,1.66,2.1,,,,,,,0.78,0.17,0.09,0.44,0.61,,,,,,,0.77,0.2,0.09,0.6,0.48,,,,,,,2025-2026
Levadiakos vs Kifisia,2025-08-25 16:30:00,Levadiakos won after full-time.,Greece Super Liga,Levadiakos,Kifisia,3.0,2.0,9.0,8.0,7.0,3.0,4.0,3.0,13.0,8.0,90.0,72.0,47.0,50.0,58.0,42.0,1.0,1.0,8.0,6.0,5.0,2.0,,,4.0,6.0,8.0,7.0,14.0,23.0,3.0,2.0,3.0,3.0,2.08,3.08,4.26,1.78,2.06,,,,,,,2.0,3.0,4.33,1.7,2.05,1.8,2.0,2.05,1.75,,,0.48,0.32,0.23,0.49,0.56,,,,,,,0.5,0.33,0.23,0.59,0.49,0.56,0.5,0.49,0.57,,,2025-2026
Volos NFC vs Olympiacos F.C.,2025-08-30 16:00:00,Olympiacos F.C. won after full-time.,Greece Super Liga,Volos NFC,Olympiacos F.C.,0.0,2.0,9.0,3.0,4.0,8.0,3.0,4.0,9.0,14.0,63.0,106.0,23.0,54.0,35.0,65.0,,,7.0,12.0,2.0,2.0,2.0,2.0,9.0,6.0,6.0,10.0,14.0,14.0,5.0,4.0,2.0,0.0,14.38,4.98,1.29,1.46,2.71,,,,,2.02,1.85,11.0,4.33,1.33,1.53,2.37,,,1.8,2.0,1.95,1.85,0.07,0.2,0.78,0.37,0.68,,,,,0.5,0.54,0.09,0.23,0.75,0.65,0.42,,,0.56,0.5,0.51,0.54,2025-2026
Panserraikos vs OFI,2025-08-30 16:30:00,OFI won after full-time.,Greece Super Liga,Panserraikos,OFI,0.0,1.0,11.0,,3.0,6.0,7.0,3.0,13.0,14.0,94.0,72.0,52.0,36.0,49.0,51.0,,,7.0,10.0,7.0,4.0,9.0,4.0,3.0,10.0,7.0,10.0,12.0,13.0,5.0,1.0,2.0,2.0,2.94,3.39,2.48,2.05,1.79,,,,,2.03,1.85,2.9,3.4,2.35,1.95,1.8,,,1.9,1.9,2.0,1.8,0.34,0.29,0.4,0.56,0.49,,,,,0.49,0.54,0.34,0.29,0.43,0.51,0.56,,,0.53,0.53,0.5,0.56,2025-2026
Aris vs Panaitolikos,2025-08-30 18:00:00,Panaitolikos won after full-time.,Greece Super Liga,Aris,Panaitolikos,0.0,2.0,2.0,12.0,7.0,2.0,7.0,4.0,18.0,12.0,120.0,51.0,72.0,13.0,72.0,28.0,,,8.0,6.0,10.0,6.0,4.0,2.0,5.0,10.0,15.0,7.0,11.0,16.0,2.0,8.0,0.0,6.0,1.44,4.36,8.36,1.63,2.28,,,1.81,2.06,2.07,1.81,1.42,4.33,7.5,1.57,2.25,,,1.77,2.02,2.02,1.77,0.69,0.23,0.12,0.44,0.61,,,0.55,0.49,0.48,0.55,0.7,0.23,0.13,0.64,0.44,,,0.56,0.5,0.5,0.56,2025-2026
